,Non-Null Count
title,124803
http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,124803
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,124803
http://www.w3.org/2000/01/rdf-schema#label,124211
http://purl.org/dc/elements/1.1/description,89219
ontology/birthYear,76804
ontology/birthDate,75911
ontology/birthPlace,62092
ontology/birthPlace_label,62092
ontology/background,47195
ontology/genre_label,40710
ontology/genre,40710
ontology/activeYearsStartYear,40462
ontology/occupation_label,31413
ontology/occupation,31413
ontology/deathYear,30867
ontology/deathDate,27195
ontology/associatedBand,24404
ontology/associatedBand_label,24404
ontology/associatedMusicalArtist_label,24403
ontology/associatedMusicalArtist,24403
ontology/instrument,20915
ontology/instrument_label,20915
ontology/recordLabel_label,20689
ontology/recordLabel,20689
ontology/hometown,19822
ontology/hometown_label,19822
ontology/alias,17677
ontology/deathPlace_label,16339
ontology/deathPlace,16339
ontology/nationality,11795
ontology/nationality_label,11795
ontology/activeYearsEndYear,11731
ontology/birthName,8496
ontology/country,7547
ontology/country_label,7547
ontology/field_label,7145
ontology/field,7145
ontology/imdbId,5180
ontology/training,4035
ontology/training_label,4035
ontology/height,3949
ontology/movement,3645
ontology/movement_label,3645
ontology/weight,2920
ontology/award_label,2732
ontology/award,2732
ontology/influencedBy_label,1972
ontology/influencedBy,1972
ontology/spouse_label,1646
ontology/spouse,1646
ontology/residence_label,1375
ontology/residence,1375
ontology/stateOfOrigin,1322
ontology/stateOfOrigin_label,1322
http://www.w3.org/2002/07/owl#differentFrom_label,1042
http://www.w3.org/2002/07/owl#differentFrom,1042
http://www.w3.org/2000/01/rdf-schema#seeAlso,965
http://www.w3.org/2000/01/rdf-schema#seeAlso_label,965
ontology/ethnicity,811
ontology/ethnicity_label,811
ontology/numberOfFilms,794
ontology/almaMater,732
ontology/almaMater_label,732
ontology/knownFor_label,650
ontology/knownFor,650
ontology/soundRecording,646
ontology/soundRecording_label,646
ontology/influenced_label,620
ontology/influenced,620
ontology/education_label,486
ontology/education,486
ontology/child,322
ontology/child_label,322
ontology/parent,303
ontology/parent_label,303
ontology/restingPlace,284
ontology/restingPlace_label,284
ontology/relative_label,263
ontology/relative,263
ontology/viafId,238
ontology/religion_label,230
ontology/religion,230
ontology/trainer,223
ontology/trainer_label,223
ontology/creator_label,151
ontology/creator,151
ontology/deathCause_label,142
ontology/deathCause,142
ontology/pseudonym,132
ontology/partner_label,126
ontology/partner,126
ontology/party_label,122
ontology/party,122
ontology/successor,115
ontology/successor_label,115
ontology/associatedAct_label,114
ontology/associatedAct,114
ontology/citizenship,110
ontology/citizenship_label,110
ontology/employer_label,110
ontology/employer,110
ontology/predecessor,100
ontology/predecessor_label,100
ontology/termPeriod,94
ontology/termPeriod_label,94
ontology/title,93
ontology/voiceType_label,90
ontology/voiceType,90
http://www.w3.org/2003/01/geo/wgs84_pos#long,84
http://www.georss.org/georss/point,84
http://www.w3.org/2003/01/geo/wgs84_pos#lat,84
ontology/office,84
ontology/notableWork_label,70
ontology/notableWork,70
ontology/orderInOffice,64
ontology/position_label,63
ontology/team,63
ontology/team_label,63
ontology/position,63
ontology/personFunction_label,62
ontology/personFunction,62
ontology/firstAppearance,56
ontology/militaryBranch,48
ontology/militaryBranch_label,48
ontology/club_label,47
ontology/club,47
ontology/series,45
ontology/coach_label,45
ontology/coach,45
ontology/series_label,45
ontology/serviceStartYear,44
ontology/battle,43
ontology/battle_label,43
ontology/hairColor,42
ontology/eyeColor,39
ontology/region_label,39
ontology/region,39
ontology/serviceEndYear,38
ontology/portrayer,36
ontology/portrayer_label,36
ontology/currentMember,35
ontology/currentMember_label,35
ontology/squadNumber,33
ontology/careerStation_label,32
ontology/voice_label,32
ontology/voice,32
ontology/careerStation,32
ontology/relation_label,31
ontology/relation,31
ontology/profession,31
ontology/profession_label,31
ontology/president,28
ontology/president_label,28
ontology/lastAppearance_label,27
ontology/lastAppearance,27
ontology/lccnId,25
ontology/militaryUnit,25
ontology/militaryUnit_label,25
ontology/activeYearsStartDate,25
ontology/doctoralAdvisor,24
ontology/doctoralAdvisor_label,24
ontology/allegiance,22
ontology/activeYearsEndDate,21
ontology/era_label,20
ontology/language,20
ontology/language_label,20
ontology/era,20
ontology/number,19
ontology/militaryCommand,18
ontology/species_label,16
ontology/species,16
ontology/signature,16
ontology/doctoralStudent,15
ontology/debutTeam,15
ontology/doctoralStudent_label,15
ontology/debutTeam_label,15
ontology/philosophicalSchool_label,14
ontology/networth,14
ontology/philosophicalSchool,14
ontology/mainInterest,13
ontology/mainInterest_label,13
ontology/activeYears,13
ontology/significantBuilding_label,11
ontology/deputy,11
ontology/significantBuilding,11
ontology/deputy_label,11
ontology/shoeSize,11
ontology/primeMinister_label,10
ontology/primeMinister,10
ontology/monarch,9
ontology/monarch_label,9
ontology/agency_label,9
ontology/individualisedGnd,9
ontology/agency,9
ontology/restingPlacePosition,9
ontology/notableIdea,8
ontology/draftYear,8
ontology/draftPick,8
ontology/draftRound,8
ontology/militaryRank,8
ontology/militaryRank_label,8
ontology/notableIdea_label,8
ontology/gender,7
ontology/formerTeam_label,7
ontology/formerTeam,7
ontology/gender_label,7
ontology/board_label,6
ontology/institution_label,6
ontology/institution,6
ontology/otherParty,6
ontology/otherParty_label,6
ontology/board,6
ontology/significantProject,6
ontology/significantProject_label,6
ontology/debut,5
ontology/isniId,4
ontology/managerClub_label,4
ontology/managerClub,4
ontology/overallRecord,3
ontology/veneratedIn,3
ontology/shoots,3
ontology/academicAdvisor,3
ontology/veneratedIn_label,3
ontology/academicAdvisor_label,3
ontology/lieutenant_label,3
ontology/lieutenant,3
ontology/depictionDescription,3
ontology/status,3
ontology/governor,3
ontology/bnfId,3
ontology/governor_label,3
ontology/chancellor_label,2
ontology/notableStudent,2
ontology/notableStudent_label,2
ontology/billed,2
ontology/billed_label,2
ontology/sudocId,2
ontology/salary,2
ontology/chancellor,2
ontology/mbaId,2
ontology/league,2
ontology/committee,2
ontology/league_label,2
ontology/wins,2
ontology/currentRecord,2
ontology/draft,2
ontology/choreographer,2
ontology/choreographer_label,2
ontology/formerCoach_label,2
ontology/formerCoach,2
ontology/rkdArtistsId,1
ontology/bodyDiscovered,1
ontology/bodyDiscovered_label,1
ontology/ulanId,1
ontology/location,1
ontology/location_label,1
ontology/nlaId,1
ontology/tournamentRecord,1
ontology/placeOfBurial_label,1
ontology/placeOfBurial,1
ontology/lastRace_label,1
ontology/races,1
ontology/firstRace_label,1
ontology/lastRace,1
ontology/fastestLap,1
ontology/firstRace,1
ontology/championships,1
ontology/podiums,1
ontology/raceHorse_label,1
ontology/opponent,1
ontology/honours,1
ontology/undraftedYear,1
ontology/electionMajority,1
ontology/selection,1
ontology/selection_label,1
ontology/type,1
ontology/type_label,1
ontology/year,1
ontology/careerPrizeMoney,1
ontology/callSign,1
ontology/race_label,1
ontology/opponent_label,1
ontology/raceHorse,1
ontology/race,1
ontology/honours_label,1
ontology/associate_label,1
ontology/associate,1
ontology/plays,1
ontology/seniority,1
ontology/college_label,1
ontology/college,1
ontology/poles,1
