Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
I. A. L. Diamond, 1920, NA, 1988, NA, 5, NA, NA
I. V. Subba Rao, 1934, NA, 2010, NA, 10, NA, NA
I Gusti Ngurah Rai, 1917, NA, 1946, NA, 26, NA, NA
Iain Campbell (biophysicist), 1941, NA, 2014, NA, 2, NA, NA
Ian Axford, 1933, NA, 2010, NA, 3, NA, NA
Ian Baker (British Army officer), 1927, NA, 2005, NA, 27, NA, NA
Ian Bruce Ferguson, 1917, New Zealand, 1988, NA, 3, NA, NA
Ian Campbell (Royal Navy officer), 1898, NA, 1980, NA, 3, NA, NA
Ian Corden-Lloyd, 1938, South Africa, 1978, NA, 3, NA, NA
Ian Cross (RAF officer), 1918, NA, 1944, NA, 2, NA, NA
Ian Cuttler, 1971, Mexico, 2014, NA, 12, NA, NA
Ian Donald Roy McDonald, 1898, NA, 1920, NA, 2, NA, NA
Ian Dougald McLachlan, 1911, NA, 1991, NA, 4, NA, NA
Ian Easton, 1917, NA, 1989, NA, 2, NA, NA
Ian Freeland, 1912, NA, 1979, NA, 4, NA, NA
Ian Garrow, 1908, NA, 1976, NA, 27, NA, NA
Ian Gordon Gill, 1919, NA, 2006, NA, 3, NA, NA
Ian Gourlay, 1920, NA, 2013, NA, 5, NA, NA
Ian Graham Gass, 1926, NA, 1992, NA, 2, NA, NA
Ian Hamilton Burrows, 1930, NA, 2006, NA, 2, NA, NA
Ian Harris (British Army officer), 1910, NA, 1999, NA, 3, NA, NA
Ian Henderson (RAF officer), 1896, NA, 1918, NA, 14, NA, NA
Ian Jenkins (Royal Navy officer), 1944, NA, 2009, NA, 2, NA, NA
Ian Lapraik, 1915, NA, 1985, NA, 4, NA, NA
Ian McDonald Campbell, 1922, NA, 1994, NA, 21, NA, NA
Ian McGeoch, 1914, NA, 2007, NA, 23, NA, NA
Ian McWhinney, 1926, NA, 2012, NA, 2, NA, NA
Ian Monro, 1927, NA, 2014, NA, 27, NA, NA
Ian Napier, 1895, NA, 1977, NA, 2, NA, NA
Ian Riches, 1908, NA, 1996, NA, 2, NA, NA
Ian Roy MacLennan, 1919, Canada, 2013, NA, 26, NA, NA
Ian Sneddon, 1919, NA, 2000, NA, 2, NA, NA
Ian Turpie, 1943, Australia, 2012, NA, 3, NA, NA
Ibrahim Ismail (general), 1922, NA, 2010, NA, 2, NA, NA
Iceal Hambleton, 1918, NA, 2004, NA, 5, NA, NA
Ida Barney, 1886, NA, 1982, NA, 36, NA, NA
Idriz Seferi, 1847, NA, 1927, NA, 14, NA, NA
Iftikhar Ali Khan (general), NA, NA, 2009, NA, 14, NA, NA
Iggie Wolfington, 1919, NA, 2004, NA, 42, NA, NA
Ignatius J. Galantin, 1910, NA, 2004, NA, 3, NA, NA
Ignatz Schweizer, 1919, Germany, 1944, NA, 32, NA, NA
Ignác Gyulay, 1763, Romania, 1831, NA, 7, NA, NA
Igor Kon, 1928, NA, 2011, NA, 35, NA, NA
Igor Ksenofontov, 1939, NA, 1999, Heart failure, 2, NA, NA
