Occupation,Lifespans
Farmer,"[82, 73, 69, 85, 83, 60, 90, 84, 68, -1850, 58, 74, 84, 94, 98, 77, 77, 92, 87, 64, 64, 91, 92, 82, 84, 62, 84, 81, 71, 83, 94, 93, 78, 52, 81, 74, 69, 72, 60, 58, 78, 84, 60, 88, 61, 89, 114, 47, 86, 89, 72, 71, 82, 68, 68, 78, 74, 0, 57, 62, 72, 81, 50, 86, 73, 71, 83, 86, 70, 78, 66, 77, 58, 63, 255, 111, 81, 77, 75, 66, 81, 87, 79, 79, 73, 65, 79, 86, 68, 79, 72, 66, 56, 74, 89, 96, 61, 77, 86, 35, 67, 85, 86, 64, 54, 62, 59, 80, 73, 68, 65, 55, 77, 74, 90, 78, 73, 89, 92, 87, 68, 80, 78, 61, 92, 74, 59, 74, 91, 56, 87, 71, 55, 61, 67, 69, 92, 87, 75, 71, 89, 74, 69, 82, 83, 75, 81, 75, 87, 79, 61, 80, 81, 59, 75, 55, 80, 64, 85, 75, 69, 63, 82, 70, 61, 83, 75, 81, 92, 73, 73, 83, 69, 76, 55, 75, 82, 74, 51, 83, 79, 88, 73, 91, 82, 73, 74, 66, 47, 82, 79, 81, 92, 82, 97, 64]"
Businessperson,"[82, 90, 79, 89, 68, 55, 52, 81, 96, 60, 84, 72, 62, 84, 96, 88, 71, 67, 76, 76, 76, 79, 63, 80, 83, 83, 95, 68, 91, 74, 97, 88, 86, 72, 91, 82, 94, 62, 87, 88, 84, 60, 80, 76, 94, 98, 73, 62, 56, 66, 73, 68, 72, 62, 82, 86, 72, 64, 77, 78, 69, 78, 86, 94, 86, 84, 72, 75, 83, 83, 84, 79, 48, 70, 85, 70, 83, 83, 88, 77, 68, 62, 54, 89, 58, 66, 73, 73, 66, 91, 51, 60, 82, 84, 95, 73, 65, 93, 42, 69, 61, 82, 82, 93, 78, 73, 80, 67, 68, 79, 79, 70, 90, 67, 78, 41, 89, 55, 91, 62, 64, 96, 68, 80, 82, 82, 75, 74, 74, 90, 80, 68, 91, 86, 80, 86, 75, 75, 54, 53, 74, 65, 94, 90, 74, 65, 75, 75, 69, 73, 87, 71, 74, 78, 65, 83, 79, 74, 82, 72, 80, 68, 69, 56, 47, 82, 76, 71, 60, 55, 57, 86, 43, 77, 85, 80, 51, 77, 57, 71, 80, 54, 77, 85, 54, 87, 79, 81, 96, 71, 76, 75, 54, 73, 79, 91, 84, 81, 83, 99, 62, 71, 79, 71, 81, 64, 68, 74, 85, 87, 96, 42, 81, 77, 82, 69, 41, 81, 53, 76, 57, 83, 68, 78, 82, 66, 88, 50, 72, 80, 83, 46, 78, 89, 83, 91, 96, 83, 90, 52, 60, 64, 97, 59, 68, 104, 54, 82, 52, 73, 65, 62, 50, 52, 61, 95, 91, 100, 59, 89, 83, 80, 90, 77, 48, 76, 87, 74, 90, 64, 44, 76, 87, 86, 68, 101, 62, 81, 86, 85, 74, 70, 88, 92, 75, 71, 55, 74, 88, 71, 80, 72, 76, 65, 56, 57, 84, 70, 81, 75, 64, 82, 86, 46, 58, 51, 112, 72, 76, 68, 81, 69, 79, 68, 78, 95, 90, 87, 88, 77, 88, 84, 61, 78, 74, 46, 77, 84, 61, 87, 66, 65, 72, 61, 73, 79, 87, 88, 55, 91, 63, 55, 87, 82, 77, 92, 75, 88, 87, 72, 88, 69, 76, 77, 84, 73, 69, 103, 69, 69, 64, 78, 85, 65, 89, 84, 64, 75, 79, 47, 98, 79, 84, 66, 70, 84, 81, 92, 59, 76, 82, 59, 88, 91, 85, 82, 67, 68, 71, 88, 51, 83, 80, 83, 33, 79, 68, 98, 66, 93, 75, 78, 57, 45, 43, 48, 57, 80, 83, 87, 82, 78, 46, 74, 93, 41, 101, 65, 61, 72, 89, 66, 80, 81, 88]"
Ranch,"[82, 81, 46, 85, 90, 78, 84, 97, 51, 94, 57, 84, 84, 71, 48, 55, 55, 85, 81, 72, 69, 74, 89, 82, 68, 88, 66, 53, 75, 93, 77, 86, 79, 87, 57, 25, 85, 81, 94, 79, 83, 86, 83, 76, 68, 97, 80, 77, 79, 89, 80, 85, 90, 32, 90, 65, 74, 71, 73, 77, 93, 74, 81, 81, 79, 80, 91, 49, 55, 89, 50, 85, 83, 79, 92]"
Investigative journalism,"[82, 76, 52, 79, 52, 67]"
Indian Administrative Service,"[81, 79, 70, 94]"
Auto racing,"[37, 85, 36, 76, 35, 60, 44, 87, 70, 93, 40, 81, 93, 78, 36, 69, 72, 74]"
Conservation movement,"[85, 94, 41, 74, 80, 93, 83, 82, 75, 85, 73, 93, 77, 84, 75, 49, 88, 72, 72, 76, 90, 96, 95, 89, 97, 59, 65, 91, 94]"
Actor,"[64, 90, 77, 64, 96, 53, 65, 72, 73, 81, 71, 83, 79, 73, 63, 76, 77, 84, 82, 38, 27, 90, 95, 93, 69, 36, 83, 78, 82, 79, 89, 76, 80, 78, 77, 63, 65, 87, 70, 79, 58, 52, 83, 88, 74, 95, 72, 87, 83, 80, 89, 64, 83, 65, 82, 70, 82, 45, 76, 61, 70, 67, 77, 63, 70, 40, 63, 61, 65, 53, 58, 61, 82, 44, 76, 80, 73, 89, 69, 73, 85, 85, 68, 98, 68, 53, 61, 72, 79, 43, 63, 78, 73, 69, 51, 63, 45, 64, 85, 87, 86, 84, 81, 73, 93, 96, 79, 76, 77, 80, 56, 32, 59, 68, 86, 43, 61, 73, 89, 53, 59, 57, 70, 83, 99, 64, 65, 64, 89, 88, 39, 72, 78, 59, 74, 82, 93, 65, 60, 75, 81, 77, 87, 69, 86, 75, 97, 65, 68, 57, 76, 92, 65, 71, 60, 32, 73, 83, 67, 76, 81, 61, 66, 77, 76, 90, 43, 81, 90, 70, 82, 93, 80, 54, 64, 82, 63, 85, 77, 80, 81, 84, 72, 69, 60, 57, 74, 96, 70, 56, 70, 64, 63, 43, 69, 61, 87, 83, 73, 84, 86, 93, 73, 83, 86, 82, 85, 63, 62, 69, 68, 76, 80, 70, 46, 61, 76, 75, 57, 80, 99, 36, 91, 74, 96, 75, 94, 61, 61, 96, 64, 77, 92, 65, 44, 78, 71, 70, 70, 78, 93, 59, 65, 83, 87, 94, 69, 35, 84, 92, 75, 71, 76, 90, 82, 66, 57, 78, 73, 74, 85, 67, 39, 82, 56, 88, 75, 52, 44, 81, 80, 41, 63, 80, 53, 48, 80, 70, 80, 59, 73, 62, 65, 91, 78, 78, 95, 80, 80, 51, 66, 68, 55, 74, 71, 85, 65, 64, 58, 82, 82, 81, 75, 95, 85, 64, 76, 82, 94, 84, 92, 62, 83, 86, 64, 59, 85, 65, 93, 65, 44, 22, 82, 85, 97, 84, 78, 99, 73, 65, 93, 96, 36, 76, 89, 83, 69, 68, 77, 56, 41, 75, 69, 86, 64, 75, 62, 58, 88, 45, 77, 78, 84, 76, 67, 86, 72, 71, 77, 84, 101, 78, 86, 90, 67, 71, 84, 75, 40, 98, 80, 90, 84, 34, 75, 79, 83, 63, 57, 76, 55, 43, 41, 73, 80, 73, 82, 73, 79, 80, 33, 51, 69, 57, 77, 87, 70, 73, 90, 67, 79, 67, 67, 61, 76, 79, 70, 68, 67, 77, 76, 78, 78, 90, 71, 81, 76, 86, 65, 76, 73, 62, 36, 81, 92, 64, 27, 69, 37, 55, 76, 62, 68, 63, 63, 83, 50, 82, 68, 81, 88, 56, 69, 68, 64, 89, 57, 37, 75, 88, 79, 86, 92, 91, 63, 60, 84, 37, 83, 78, 64, 74, 42, 80, 86, 86, 92, 92, 82, 73, 87, 54, 76, 72, 82, 82, 70, 24, 79, 91, 64, 90, 86, 35, 65, 93, 88, 71, 93, 87, 44, 91, 47, 91, 69, 40, 81, 90, 77, 88, 96, 78, 53, 40, 58, 60, 72, 90, 76, 64, 64, 92, 51, 88, 77, 79, 87, 100, 82, 85, 88, 67, 58, 92, 60, 38, 77, 65, 65, 73, 96, 89, 74, 77, 63, 78, 85, 99, 68, 84, 59, 77, 65, 66, 84, 89, 66, 74, 72, 68, 56, 74, 79, 85, 82, 80, 82, 83, 95, 66, 92, 71, 80, 75, 81, 79, 89, 64, 75, 86, 34, 60, 73, 40, 90, 71, 74, 71, 52, 92, 70, 90, 84, 46, 70, 70, 71, 99, 94, 50, 78, 78, 78, 76, 38, 75, 74, 67, 65, 71, 55, 19, 70, 63, 58, 82, 54, 64, 79, 64, 72, 75, 75, 88, 55, 73, 85, 75, 84, 55, 63, 48, 75, 89, 83, 87, 83, 62, 42, 84, 45, 46, 57, 63, 87, 90, 64, 56, 74, 76, 81, 80, 49, 57, 86, 70, 84, 63, 56, 77, 60, 48, 71, 67, 78, 89, 52, 61, 100, 63, 65, 65, 92, 47, 77, 67, 88, 77, 80, 80, 22, 71, 70, 75, 76, 55, 66, 83, 66, 85, 70, 88, 35, 74, 61, 70, 85, 36, 33, 73, 80, 43, 73, 60, 66, 49, 84, 86, 46, 80, 75, 74, 75, 89, 73, 67, 77, 86, 81, 63, 75, 56, 65, 68, 38, 93, 60, 64, 57, 76, 83, 87, 82, 67, 48, 69, 88, 87, 57, 62, 53, 79, 79, 87, 52, 75, 70, 66, 70, 73, 81, 82, 80, 65, 60, 80, 51, 65, 97, 93, 73, 83, 60, 55, 76, 81, 82, 57, 73, 73, 89, 40, 78, 83, 84, 87, 24, 46, 89, 76, 92, 98, 75, 67, 66, 76, 73, 62, 77, 89, 83, 72, 89, 57, 72, 82, 77, 69, 67, 83, 83, 72, 74, 95, 76, 61, 48, 69, 84, 83, 71, 82, 88, 76, 96, 90, 56, 88, 62, 81, 73, 54, 77, 81, 81, 87, 68, 68, 76, 80, 74, 58, 74, 86, 65, 65, 65, 88, 87, 69, 82, 50, 76, 64, 46, 69, 73, 76, 63, 83, 80, 73, 88, 84, 77, 59, 89, 85, 48, 83, 94, 73, 80, 43, 54, 69, 57, 70, 86, 80, 97, 77, 90, 61, 79, 64, 93, 57, 52, 106, 83, 77, 75, 87, 85, 70, 66, 76, 79, 80, 76, 69, 42, 66, 48, 63, 91, 74, 73, 83, 73, 82, 75, 67, 67, 37, 83, 85, 65, 69, 83, 77, 90, 82, 82, 92, 70, 82, 82, 79, 52, 62, 64, 77, 84, 53, 77, 94, 77, 90, 50, 64, 93, 80, 90, 73, 49, 77, 74, 73, 75, 69, 68, 84, 85, 65, 84, 76, 53, 60, 50, 29, 42, 97, 76, 77, 62, 85, 82, 76, 81, 67, 78, 97, 47, 51, 91, 77, 52, 70, 52, 78, 69, 66, 72, 94, 69, 82, 94, 80, 78, 76, 77, 81, 83, 75, 80, 52, 75, 89, 84, 74, 68, 66, 77, 86, 97, 79, 88, 86, 79, 51, 80, 47, 72, 57, 75, 88, 64, 75, 74, 49, 83, 83, 68, 69, 67, 68, 80, 69, 74, 88, 91, 68, 74, 73, 76, 89, 92, 39, 79, 70, 65, 73, 71, 59, 75, 69, 82, 71, 73, 68, 62, 44, 63, 57, 63, 76, 61, 46, 91, 75, 73, 91, 59, 61, 74, 75, 71, 91, 77, 79, 54, 70, 78, 67, 62, 72, 53, 70, 65, 46, 81, 84, 78, 65, 99, 55, 76, 77, 59, 87, 87, 44, 48, 55, 85, 61, 57, 39, 97, 59, 67, 75, 86, 96, 69, 70, 73, 72, 62, 74, 67, 79, 87, 78, 89, 52, 88, 73, 74, 59, 70, 82, 76, 87, 61, 58, 87, 75, 83, 68, 97, 69, 72, 90, 87, 69, 61, 66, 84, 80, 65, 78, 85, 83, 77, 76, 87, 85, 83, 46, 81, 75, 88, 67, 89, 82, 71, 64, 83, 57, 57, 45, 79, 64, 87, 64, 83, 93, 49, 55, 45, 76, 80, 68, 54, 53, 70, 71, 64, 65, 94, 78, 73, 69, 73, 60, 85, 93, 51, 90, 64, 67, 56, 79, 95, 85, 94, 51, 88, 90, 73, 82, 86, 34, 71, 64, 62, 75, 73, 69, 83, 79, 61, 88, 89, 42, 78, 67, 73, 91, 65, 78, 54, 42, 92, 51, 67, 49, 78, 82, 74, 48, 79, 73, 86, 70, 67, 91, 83, 83, 71, 92, 54, 70, 50, 65, 54, 92, 32, 75, 85, 85, 73, 69, 80, 67, 88, 70, 73, 70, 75, 55, 77, 62, 108, 48, 80, 86, 80, 42, 65, 29, 72, 65, 82, 80, 77, 91, 80, 82, 65, 72, 57, 71, 71, 64, 64, 50, 44, 83, 80, 83, 68, 68, 53, 77, 72, 65, 69, 92, 84, 81, 77, 64, 54, 36, 86, 82, 81, 37, 59, 46, 47, 76, 44, 70, 77, 79, 71, 68, 78, 83, 76, 92, 52, 49, 99, 83, 78, 54, 77, 58, 87, 83, 24, 79, 69, 76, 82, 68, 91, 75, 73, 87, 62, 68, 80, 45, 92, 92, 77, 63, 1929, 76, 65, 61, 90, 88, 82, 85, 81, 67, 53, 44, 60, 59, 67, 91, 90, 92, 70, 47, 77, 75, 84, 54, 55, 75, 82, 85, 88, 77, 59, 91, 82, 75, 90, 72, 35, 42, 58, 60, 68, 85, 56, 64, 74, 64, 47, 88, 39, 52, 90, 66, 94, 75, 96, 104, 72, 90, 78, 83, 71, 35, 61, 74, 68, 85, 74, 72, 88, 80, 34, 43, 64, 57, 87, 73, 95, 80, 88, 66, 73, 77, 58, 59, 59, 89, 77, 50, 65, 72, 88, 70, 86, 83, 63, 86, 91, 51, 97, 74, 57, 78, 58, 86, 84, 69, 74, 62, 45, 61, 73, 53, 71, 82, 86, 94, 69, 49, 84, 82, 86, 83, 64, 77, 65, 82, 83, 86, 83, 74, 81, 80, 83, 45, 89, 52, 80, 81, 83, 84, 66, 69, 80, 57, 72, 90, 82, 72, 69, 71, 27, 80, 66, 82, 78, 50, 80, 61, 81, 79, 83, 84, 44, 67, 70, 85, 66, 48, 72, 94, 84, 73, 84, 93, 54, 57, 52, 73, 78, 62, 72, 77, 73, 68, 77, 85, 81, 75, 27, 72, 55, 93, 69, 82, 83, 87, 87, 90, 61, 84, 65, 55, 45, 76, 83, 92, 66, 87, 74, 76, 78, 86, 68, 47, 88, 68, 81, 85, 60, 60, 61, 63, 86, 81, 58, 70, 82, 89, 85, 85, 56, 20, 88, 71, 84, 77, 77, 71, 71, 65, 91, 68, 75, 77, 80, 84, 47, 72, 81, 68, 66, 93, 49, 82, 63, 81, 63, 85, 81, 63, 88, 65, 68, 60, 93, 75, 53, 75, 60, 82, 87, 89, 53, 78, 62, 91, 65, 71, 59, 63, 71, 64, 69, 91, 72, 87, 85, 75, 66, 74, 71, 88, 47, 44, 84, 73, 75, 76, 66, 85, 71, 57, 88, 73, 74, 59, 72, 54, 83, 70, 102, 54, 80, 74, 39, 90, 70, 2003, 63, 58, 80, 25, 71, 81, 68, 83, 74, 62, 68, 77, 46, 66, 63, 58, 83, 66, 71, 51, 64, 62, 54, 58, 76, 57, 50, 88, 91, 80, 69, 87, 68, 67, 70, 67, 75, 77, 54, 55, 90, 102, 35, 81, 84, 69, 60, 66, 83, 84, 80, 60, 62, 64, 90, 55, 64, 91, 67, 63, 63, 74, 61, 78, 85, 87, 72, 52, 72, 40, 81, 106, 81, 89, 95, 57, 71, 34, 85, 89, 32, 79, 45, 82, 91, 91, 85, 30, 53, 82, 79, 61, 66, 64, 84, 51, 49, 52, 80, 50, 76, 83, 75, 77, 87, 76, 34, 72, 67, 72, 76, 54, 70, 78, 72, 92, 69, 79, 64, 43, 76, 72, 98, 92, 88, 94, 81, 65, 69, 78, 50, 71, 68, 69, 53, 70, 63, 89, 84, 69, 47, 72, 95, 80, 72, 71, 67, 48, 74, 67, 55, 85, 85, 82, 64, 53, 87, 77, 96, 89, 90, 63, 76, 52, 71, 63, 46, 88, 95, 88, 63, 79, 80, 82, 74, 63, 82, 89, 70, 67, 76, 73, 49, 87, 76, 64, 74, 69, 83, 87, 65, 65, 71, 89, 74, 56, 62, 86, 66, 90, 59, 92, 67, 74, 71, 67, 83, 68, 80, 78, 84, 71, 88, 58, 42, 60, 55, 86, 51, 64, 63, 96, 95, 88, 63, 90, 74, 69, 75, 57, 75, 95, 81, 93, 70, 90, 42, 59, 37, 78, 70, 56, 51, 50, 72, 79, 75, 54, 87, 75, 62, 72, 65, 79, 67, 80, 59, 71, 73, 57, 85, 67, 57, 78, 36, 89, 28, 75, 74, 86, 77, 76, 85, 67, 59, 64, 66, 97, 82, 76, 82, 71, 93, 77, 65, 60, 86, 76, 59, 58, 87, 72, 66, 69, 74, 74, 73, 61, 73, 70, 56, 67, 85, 79, 61, 81, 89, 85, 45, 66, 59, 81, 75, 75, 65, 55, 60, 42, 89, 95, 68, 57, 69, 58, 55, 87, 62, 81, 65, 49, 74, 82, 57, 55, 93, 67, 54, 92, 91, 64, 58, 54, 74, 56, 56, 72, 70, 67, 86, 69, 84, 55, 79, 64, 60, 87, 67, 54, 52, 66, 83, 60, 73, 71, 91, 70, 74, 79, 71, 92, 60, 78, 36, 61, 70, 44, 91, 91, 82, 70, 81, 76, 57, 67, 72, 93, 90, 57, 50, 76, 79, 89, 72, 89, 63, 52, 81, 47, 90, 59, 66, 80, 66, 83, 61, 47, 87, 56, 88, 39, 96, 91, 77, 81, 95, 58, 46, 72, 39, 82, 66, 61, 48, 74, 95, 87, 87, 78, 35, 66, 81, 58, 70, 77, 59, 54, 45, 67, 101, 87, 86, 54, 58, 77, 84, 60, 88, 69, 87, 69, 67, 78, 83, 78, 63, 93, 44, 77, 82, 62, 87, 85, 81, 65, 52, 80, 78, 87, 82, 76, 80, 57, 74, 62, 67, 47, 71, 51, 78, 72, 82, 76, 70, 68, 66, 55, 69, 79, 76, 25, 94, 90, 65, 94, 67, 72, 103, 82, 43, 85, 96, 90, 78, 104, 87, 36, 92, 90, 78, 78, 61, 53, 75, 53, 61, 55, 85, 60, 89, 87, 94, 52, 66, 81, 45, 75, 84, 86, 58, 82, 74, 69, 81, 90, 63, 81, 36, 64, 50, 53, 79, 84, 92, 51, 73, 82, 54, 94, 88, 79, 76, 48, 70, 76, 61, 72, 70, 79, 93, 48, 78, 84, 47, 29, 68, 73, 62, 53, 69, 81, 77, 68, 68, 55, 67, 72, 55, 63, 51, 54, 71, 79, 56, 84, 75, 33, 82, 72, 73, 65, 42, 79, 56, 74, 85, 90, 72, 75, 60, 67, 21, 76, 82, 93, 77, 100, 86, 68, 64, 182, 85, 68, 85, 67, 59, 69, 74, 80, 74, 56, 80, 74, 61, 65, 77, 80, 85, 85, 55, 68, 39, 76, 79, 70, 71, 52, 48, 78, 91, 72, 87, 64, 53, 83, 74, 60, 47, 83, 88, 61, 52, 70, 54, 77, 65, 43, 71, 79, 76, 76, 65, 77, 68, 83, 87, 52, 90, 73, 98, 76, 70, 85, 96, 78, 85, 71, 91, 68, 60, 34, 56, 83, 82, 93, 44, 11, 95, 71, 93, 48, 86, 94, 68, 43, 70, 88, 88, 82, 82, 98, 82, 57, 91, 27, 57, 96, 85, 87, 58, 90, 82, 60, 63, 88, 60, 44, 79, 75, 53, 66, 80, 72, 64, 96, 79, 90, 44, 75, 88, 44, 73, 63, 79, 79, 80, 76, 65, 86, 65, 54, 98, 65, 93, 77, 88, 80, 40, 69, 65, 84, 72, 58, 60, 80, 67, 49, 73, 72, 46, 50, 91, 35, 62, 49, 57, 68, 87, 89, 76, 91, 90, 96, 78, 87, 74, 86, 69, 78, 68, 85, 66, 82, 66, 47, 59, 87, 71, 69, 77, 80, 90, 71, 89, 66, 72, 85, 88, 84, 81, 49, 97, 63, 74, 68, 58, 74, 74, 89, 52, 71, 94, 72, 76, 80, 70, 87, 57, 81, 75, 88, 65, 60, 73, 39, 51, 64, 78, 94, 75, 90, 74, 75, 68, 86, 65, 89, 88, 66, 58, 82, 67, 28, 45, 79, 80, 79, 84, 52, 71, 71, 74, 72, 57, 61, 84, 61, 83, 65, 45, 80, 74, 66, 84, 50, 84, 95, 65, 61, 81, 65, 95, 73, 85, 76, 34, 81, 79, 78, 71, 68, 95, 85, 83, 68, 64, 96, 77, 79, 37, 66, 78, 59, 54, 84, 79, 88, 91, 85, 80, 87, 82, 84, 85, 71, 67, 67, 70, 60, 74, 74, 70, 40, 85, 62, 79, 90, 93, 73, 91, 60, 80, 81, 79, 87, 82, 66, 87, 71, 79, 78, 67, 80, 51, 68, 89, 86, 67, 71, 76, 69, 75, 66, 72, 57, 62, 80, 97, 33, 75, 59, 90, 89, 84, 87, 25, 65, 77, 81, 68, 75, 53, 97, 88, 60, 60, 51, 74, 27, 61, 76, 64, 47, 42, 80, 71, 60, 64, 50, 78, 67, 69, 58, 78, 78, 95, 77, 73, 65, 45, 87, 78, 67, 65, 80, 40, 58, 92, 77, 64, 81, 60, 63, 90, 89, 53, 71, 54, 52, 79, 94, 73, 65, 54, 83, 65, 53, 71, 68, 70, 65, 61, 66, 73, 64, 51, 71, 54, 61, 67, 73, 52, 52, 79, 85, 78, 65, 77, 65, 88, 50, 85, 72, 57, 50, 87, 83, 82, 73, 89, 63, 39, 80, 72, 54, 66, 44, 75, 53, 88, 80, 72, 78, 49, 45, 78, 34, 85, 65, 58, 59, 60, 89, 46, 49, 82, 64, 72, 61, 62, 61, 58, 95, 81, 74, 75, 71, 71, 78, 90, 97, 82, 87, 72, 78, 71, 78, 88, 83, 88, 76, 92, 82, 87, 65, 54, 83, 78, 75, 88, 68, 81, 71, 88, 96, 65, 59, 89, 71, 70, 69, 87, 76, 85, 78, 86, 46, 82, 86, 82, 63, 55, 72, 85, 70, 45, 76, 68, 91, 92, 75, 79, 81, 76, 80, 62, 67, 84, 83, 53, 72, 75, 81, 92, 71, 71, 73, 84, 82, 39, 59, 75, 79, 65, 77, 100, 72, 67, 80, 100, 87, 50, 60, 40, 70, 50, 75, 55, 83, 85, 81, 73, 69, 77, 53, 51, 88, 57, 79, 57, 63, 78, 47, 46, 82, 80, 79, 78, 71, 64, 83, 58, 65, 83, 99, 86, 87, 86, 96, 78, 90, 48, 79, 77, 92, 79, 86, 76, 82, 79, 83, 73, 50, 92, 65, 88, 85, 97, 85, 64, 84, 75, 67, 62, 52, 82, 89, 93, 45, 86, 72, 68, 60, 70, 87, 85, 60, 83, 81, 67, 73, 71, 43, 77, 67, 91, 86, 50, 63, 63, 87, 96, 80, 68, 40, 98, 63, 52, 72, 48, 72, 71, 60, 76, 42, 92, 75, 92, 57, 78, 70, 77, 71, 83, 65, 89, 72, 87, 75, 73, 84, 81, 90, 80, 67, 64, 86, 64, 62, 81, 63, 78, 77, 55, 97, 67, 75, 76, 71, 77, 83, 81, 88, 23, 60, 68, 51, 66, 73, 75, 80, 57, 55, 78, 85, 78, 95, 94, 80, 67, 82, 82, 57, 38, 87, 66, 70, 51, 71, 85, 62, 76, 69, 84, 51, 76, 63, 74, 72, 81, 82, 75, 96, 87, 63, 64, 81, 76, 65, 51, 85, 69, 78, 73, 80, 81, 47, 58, 97, 82, 54, 73, 82, 43, 72, 86, 80, 59, 29, 89, 69, 83, 74, 83, 47, 66, 90, 47, 70, 58, 57, 68, 59, 67, 74, 66, 63, 69, 87, 66, 79, 85, 71, 74, 59, 81, 44, 57, 70, 57, 50, 52, 92, 85, 86, 68, 91, 61, 44, 59, 57, 66, 83, 65, 66, 84, 62, 98, 83, 65, 89, 67, 55, 58, 71, 70, 77, 76, 42, 85, 33, 88, 80, 60, 68, 85, 82, 86, 65, 86, 89, 63, 53, 79, 80, 91, 55, 64, 61, 51, 76, 78, 58, 89, 73, 73, 90, 86, 65, 68, 75, 44, 66, 71, 69, 61, 52, 62, 77, 73, 82, 68, 93, 67, 77, 61, 89, 57, 69, 81, 71, 65, 57, 77, 63, 51, 60, 39, 59, 38, 76, 80, 86, 69, 46, 82, 89, 85, 61, 41, 78, 74, 85, 75, 89, 66, 81, 83, 64, 89, 86, 54, 82, 79, 76, 53, 91, 67, 69, 83, 84, 52, 71, 85, 70, 89, 75, 68, 76, 87, 55, 73, 81, 48, 81, 69, 65, 85, 91, 82, 50, 54, 75, 88, 90, 45, 69, 78, 80, 57, 51, 98, 93, 76, 89, 72, 74, 84, 66, 74, 63, 43, 80, 50, 74, 87, 63, 56, 58, 84, 84, 92, 66, 70, 77, 59, 69, 72, 83, 88, 86, 71, 85, 81, 84, 70, 69, 97, 80, 58, 69, 74, 73, 72, 82, 77, 79, 89, 91, 71, 76, 89, 32, 69, 45, 93, 67, 97, 63, 50, 57, 79, 82, 79, 70, 78, 82, 66, 79, 63, 72, 67, 84, 89, 57, 77, 70, 73, 77, 76, 59, 67, 90, 73, 55, 90, 91, 76, 67, 75, 50, 60, 100, 73, 71, 63, 75, 31, 42, 71, 77, 65, 59, 68, 34, 79, 68, 80, 61, 77, 69, 57, 37, 79, 65, 60, 66, 89, 90, 77, 84, 81, 67, 88, 86, 64, 64, 101, 68, 95, 74, 96, 71, 70, 73, 60, 93, 71, 94, 68, 66, 95, 89, 79, 75, 83, 54, 80, 81, 79, 65, 84, 49, 66, 80, 70, 7, 68, 57, 73, 62, 59, 44, 87, 58, 67, 85, 25, 82, 30, 68, 84, 80, 95, 78, 57, 86, 57, 76, 76, 84, 46, 70, 81, 55, 53, 75, 57, 72, 85, 58, 86, 82, 55, 68, 49, 48, 56, 79, 72, 59, 66, 60, 84, 41, 84, 73, 87, 84, 82, 86, 67, 73, 70, 46, 55, 77, 60, 75, 80, 90, 49, 64, 59, 49, 81, 69, 62, 61, 85, 65, 90, 93, 57, 55, 79, 84, 92, 57, 48, 61, 76, 87, 92, 84, 68, 60, 65, 80, 41, 93, 82, 76, 88, 91, 69, 81, 57, 65, 59, 90, 64, 59, 71, 60, 72, 65, 77, 81, 59, 87, 54, 85, 31, 64, 76, 88, 75, 73, 79, 72, 62, 50, 109, 90, 73, 62, 75, 60, 68, 79, 43, 75, 68, 88, 72, 86, 82, 73, 79, 67, 71, 65, 80, 64, 65, 84, 64, 61, 92, 85, 87, 63, 63, 88, 57, 84, 81, 61, 80, 69, 61, 70, 90, 79, 64, 61, 85, 74, 39, 62, 49, 49, 73, 32, 68, 52, 101, 96, 64, 68, 76, 75, 78, 76, 73, 68, 81, 75, 74, 73, 60, 47, 77, 56, 69, 84, 90, 70, 75, 73, 72, 92, 72, 76, 86, 43, 57, 82, 79, 53, 75, 90, 37, 80, 75, 54, 29, 79, 82, 57, 82, 78, 84, 65, 68, 72, 71, 69, 67, 78, 91, 60, 63, 74, 35, 75, 75, 77, 77, 51, 50, 55, 79, 75, 73, 103, 67, 73, 75, 79, 79, 85, 78, 79, 66, 82, 72, 88, 22, 66, 74, 81, 72, 77, 70, 78, 66, 76, 71, 77, 72, 90, 54, 63, 59]"
Chemist,"[73, 87, 72, 42, 86, 69, 84, 81, 82, 36, 78, 82, 78, 68, 76, 66, 56, 88, 77, 78, 91, 78, 68, 70, 76, 91, 75, 81, 74, 91, 55, 81, 57, 72, 42, 70, 38, 80, 80, 78, 78, 93, 73, 91, 83, 69, 70, 67, 81, 74, 77, 86, 92, 82, 62, 61, 97, 82, 62, 87, 95]"
Academia,"[73, 72, 31, 84, 84, 84, 89, 84, 87, 86, 81, 79, 92, 80, 70, 56, 95, 71, 68, 80, 68, 83, 64, 87, 80, 78, 86, 78, 53, 73, 69, 76, 96, 81, 81, 73, 80, 64, 80, 94, 75, 87, 80, 88, 76, 80, 71, 82, 78, 88, 89, 63, 71]"
