Occupation,Lifespans
Hinduism,"[69, 67, 72, 78, 96, 82, 48, 91, 63, 86, 93, 59, 80, 98, 63, 76, 37, 70, 93, 56, 65, 86, 73, 68, 91, 38, 83, 64, 54, 77, 59, 79, 60, 79, 74, 58, 65, 48, 98, 83, 61, 79, 67, 49, 87, 47, 48, 39, 74, 83, 57, 93, 87, 76, 65, 45, 74, 69, 58, 74, 65, 83, 44, 69, 51, 58, 93, 80, 85, 55, 72, 75, 75, 75, 56, 80, 50, 82, 70, 79, 69, 84, 89, 77, 59, 94, 61, 67, 50, 95, 79, 30, 94, 78, 81, 74, 53, 63, 89, 73, 78, 75, 59, 48, 61, 81, 67, 71, 87, 60, 70, 88, 85, 95, 35, 79, 81, 30, 68, 67, 88, 84, 93, 56, 85, 62, 84, 91, 52, 95, 50, 85, 70, 31, 92, 51, 55, 82, 27, 84, 24, 77, 84, 74, 57, 30, 62, 54, 67, 89, 96, 53, 67, 76, 82, 77, 83, 48, 51, 70, 88, 55, 30, 37, 52, 20, 61, 30, 79, 37, 67, 98, 20, 108, -1872, 62, 75, 101, 46, 0, 68, 74, 77, 95, 91, 46, 82, 81, 65, 51, 61, 72, 82, 82, 81, 68, 90, 56, 67, 62, 90, 61, 1, 79, 87, 84, 59, 75, 102, 67, 53, 86, 94, 74, 68, 78, 82, 64, 94, 66, 63, 81, 78, 73, 81, 49, 65, 67, 65, 79, 74, 94, 84, 75, 78, 71, 79, 73, 100, 67, 80, 94]"
Anglicanism,"[64, 62, 77, 59, 86, 71, 85, 82, 90, 80, 88, 38, 75, 64, 66, 30, 74, 69, 69, 74, 76, 71, 85, 91, 53, 85, 82, 63, 59, 92, 89, 80, 91, 67, 71, 85, 82, 75, 58, 54, 84, 90, 81, 93, 95, 85, 59, 84, 89, 66, 66, 54, 78, 79, 86, 68, 83, 83, 84, 86, 79, 67, 91, 72, 93, 87, 56, 77, 81, 65, 57, 51, 39, 86, 81, 92, 82, 77, 87, 60, 76, 94, 90, 69, 81, 91, 66, 81, 78, 78, 70, 86, 69, 87, 73, 87, 61, 73, 84, 84, 85, 84, 51, 83, 45, 84, 96, 88, 78, 77, 89, 74, 82, 52, 81, 73, 79, 65, 88, 90, 60, 70, 81, 47, 80, 81, 80, 87, 85, 72, 84, 83, 75, 90, 77, 74, 87, 82, 84, 38, 79, 77, 91, 72, 54, 81, 57, -1911, 84, 69, 68, 61, 4, 51, 79, 71, 76, 56, 67, 69, 78, 60, 59, 78, 69, 81, 59, 89, 69, 81, 86, 84, 77, 75, 83, 78, 83, 72, 66, 79, 78, 77, 50, 91, 69, 76, 86, 60, 89, 78, 77, 91, 65, 79, 83, 71, 89, 80, 68, 72, 50, 89, 80, 71, 93, 89, 44, 88, 85, 78, 83, 58, 83, 92, 65, 92, 68, 73, 89, 81, 89, 80, 91, 81, 60, 94, 69, 58, 68, 73, 82, 75, 87, 81, 82, 90, 83, 79, 50, 68, 73, 72, 71, 65, 86, 67, 85, 67, 75, 81, 72, 87, 68, 86, 98, 84, 93, 65, 52, 67, 81, 87, 82, 89, 84, 85, 73, 82, 87, 87, 86, 50, 89, 81, 73, 94, 96, 76, 67, 66, -333, 74, 72, 68, 75, 80, 90, 70, 60, 88, 79, 67, 78, 80, 75, 59, 90, 68, 74, 68, 52, 82, 88, 89, 84, 65, 64, 63, 91, 71, 72, 46, 89, 74, 78, 89, 83, 82, 81, 84, 54, 78, 66, 90, 59, 91, 85, 44, 89, 87, 60, 82, 79, 83, 73, 60, 62, 79, 48, 69, 96, 80, 75, 69, 83, 77, 74, 67, 52, 85, 40, 64, 71, 97, 48, 70, 73, 68, 68, 85, 91, 67, 69, 54, 74, 75, 58, 65, 77, 100, 103, 80, 99, 83, 65, 60, 90, 64, 68, 75, 87, 80, 82, 52, 71, 88, 83, 86, 74, 47, 68, 80, 93, 81, 74, 73, 65, 52, 88, 87, 84, 73, 44, 63, 88, 77, 67, 63, 82, 60, 83, 95, 55, 97, 85, 75, 58, 88, 80, 90, 75, 80, 75, 82, 75, 84, 90, 80, 85, 84, 68, 77, 95, 48, 91, 30, 59, 76, 77, 84, 71, 88, 71, 67, 77, 84, 91, 92, 76, 77, 67, 60, 98, 86, 88, 71, 77, 65, 84, 64, 67, 65, 32, 73, 83, 63, 92, 83, 63, 87, 89, 83, 77, 80, 66, 60, 78, 87, 92, 82, 69, 87, 68, 55, 80, 65, 84, 78, 90, 83, 71, 82, 67, 88, 83, 87, 79, 68, 79, 78, 62, 85, 80, 90, 54, 89, 64, 89, 48, 88, 102, 63, 51, 77, 49, 58, 71, 77, 90, 81, 77, 74, 83, 66, 76, 69, 72, 75, 75, 52, 56, 99, 84, 83, 56, 85, 73, 90, 60, 76, 88, 87, 52, 70, 49, 58, 67, 82, 66, 71, 67, 68, 72, 78, 76, 78, 74, 74, 73, 80, 70, 75, 40, 87, 69, 50, 59, 62, 84, 72, 85, 80, 82, 69, 61, 68, 91, 90, 76, 55, 85, 75, 53, 71, 82, 76, 82, 84, 76, 85, 78, 82, 66, 84, 89, 84, 72, 72, 83, 65, 62, 68, 70, 73, 80, 74, 67, 92, 79, 61, 54, 61, 84, 72, 77, 78, 66, 76, 88, 52, 79, 75, 82, 69, 80, 70, 36, 76, 73, 74, 71, 73, 66, 74, 88, 82, 76, 43, 67, 79, 72, 58, 47, 95, 89, 71, 90, 88, 85, 88, 41, 66, 53, 73, 78, 67, 71, 69, 64, 82, 83, 65, 57, 61, 78, 38, 72, 74, 73, 77, 75, 52, 64, 70, 77, 82, 66, 89, 87, 65, 69, 80, 70, 68, 78, 52, 77, 78, 75, 77, 95, 74, 79, 81, 80, 93, 77, 63, 73, 66, 79, 82, 67, 79, 73, 66, 60, 83, 77, 88, 82, 86, 91, 58, 75, 73, 69, 65, 64, 84, 77, 81, 99, 78, 66, 83, 59, 82, 95, 91, 64, 73, 81, 90, 82, 64, 75, 59, 68, 70, 98, 67, 60, 61, 55, 57, 51, 81, 75, 71, 74, 83, 80]"
Sunni Islam,"[66, 80, 50, 93, 82, 96, 62, 36, 88, 65, 59, 52, 68, 101, 43, 44, 69, 70, 69, 76, 62, 57, 73, 69, 95, 74, 79, 54, 75, 52, 50, 48, 84, 75, 83, 69, 63, 82, 79, 68, 84, 31, 96, 82, 66, 96, 76, 61, 61, 87, 79, 61, 76, 77, 63, 62, 68, 82, 60, 72, 76, 78, 95, 63, 53, 40, 81, 66, 41, 63, 58, 61, 68, 53, 97, 73, 80, 85, 86, 39, 63, 72, 80, 84, 45, 62, 93, 49, 77, 92, 52, 65, 70, 82, 27, 73, 71, 86, 71, 75, 73, 88, 70, 104, 92, 69, 54, 80, 63, 68, 57, 88, 82, 80, 70, 63, 66, 52, 79, 82, 48, 71, 55, 87, 78, 67, 54, 73, 89, 62, 67, 67, 64, 71, 89, 71, 105, 52, 74, 87, 90, 91, 46, 77, 43, 102, 19, 69, 82, 62, 52, 64, 69, 65, 88, 67, 47, 61, 83, 63, 70, 67, 37, 66, 62, 92, 86, 61, 68]"
Bektashi Order,"[72, 91, 72, 66, 76]"
Muslim,"[64, 78, 82, 78, 89, 87, 58, 58, 64, 50, 70, 55, 89, 67, 79, 86, 85, 60, 46, 47, 65, 23, 80, 86, 82, 68, 73, 49, 77, 61, 57]"
Shia Islam,"[90, 50, 86, 74, 72, 86, 73, 40, 59, 67, 67, 82, 65, 64, 71, 32, 91, 65, 84, 31, 44, 68, 74, 82, 93, 68, 81, 78, 75, 83, 43, 92, 81, 81, 78, 53, 99, 35, 72]"
Alawites,"[88, 71, 50]"
Maronite Church,"[83, 71, 76, 73, 35]"
Church of England,"[89, 56, 55, 84, 87, 82, 76, 88, 82, 69, 93, 57, 74, 80, 76, 61, 94, 83, 75, 95, 94, 82, 77, 88, 84, 68, 67, 84, 76, 84, 55, 62, 77, 54, 77, 59, 76, 48, 73, 80, 85, 69, 72, 75, 89, 64, 75, 61, 87, 70, 95, 89, 67, 53, 63, 48, 79, 48, 60, 73, 79, 86, 40, 53, 90, 77, 77, 69, 53, 89, 70, 53, 55, 63, 71, 64, 90, 74, 75, 52, 69, 67, 67, 70, 85, 86, 72, 71, 68, 0, 75, 89, 69, 71, 56, 75, 77, 63, 43, 82, 82, 85, 48, 88, 67, 64, 55, 61, 78, 90, 73, 83, 90, 88, 56, 51, 40, 59, 49, 63, 63, 73, 58, 66, 64, 84, 75, 54, 48, 76, 74, 69, 54, 73, 89, 78, 68, 72, 68, 63, 77, 64, 72, 70, 92, 74, 46, 31, 70, 57, 58, 73, 60, 73, 46, 64, 84, 76, 58, 64, 89, 77, 71, 55, 77, 60, 60, 43, 59, 91, 78, 55, 78, 68, 90, 80, 42, 81, 64, 47, 69, 91, 100, 88, 74, 90, 64, 82, 80, 63, 70, 62, 67, 85, 62, 73, 70, 74, 63, 60, 73, 48, 61, 80, 67, 71, 91, 73, 86, 57, 68, 74, 87, 80, 85, 62, 82, 58, 73, 84, 65, 66, 65, 70, 83, 69, 61, 77, 64, 61, 62, 86, 56, 81, 70, 63, 71, 67, 72, 76, 83, 90, 77, 75, 84, 64, 76, 59, 34, 86, 78, 72, 76, 84, 67, 65, 82, 84, 45, 88, 48, 66, 80, 77, 73, 75, 57, 58, 78, 1717, 66, 85, 73, 73, 30, 68, 68, 78, 45, 83, 52, 61, 86, 84, 84, 90, 87, 51, 59, 76, 64, 77, 81, 60, 59, 92, 87, 80, 67, 57, 56, 45, 43, 59, 70, 82, 70, 52, 62, 73, 82, 87, 75, 69, 69]"
Islam,"[89, 21, 50, 78, 43, 53, 63, 89, 53, 87, 75, 59, 72, 95, 82, 68, 78, 54, 73, -564, 69, 56, 56, 34, 69, 59, 32, 65, 56, 89, 40, 53, 58, 77, 77, 94, 78, 73, 47, 80, 69, 54, 52, 55, 33, 74, 73, 57, 55, 64, 84, 75, 63, 85, 64, 60, 39, 54, 57, 85, 42, 75, 58, 69, 67, 42, 86, 80, 48, 86, 83, 76, 68, 58, 33, 75, 61, 80, 54, 70, 57, 84, 73, 44, 65, 86, 80, 56, 83, 63, 83, 93, 94, 88, 65, 78, 89, 58, 65, 65, 58, 84, 68, 57, 67, 43, 52, 81, 70, 28, 70, 63, 88, 81, 43, 93, 95, 93, 54, 59, 43, 63, 39, 57, 87, 73, 67, 84, 60, 82, 67, 54, 64, 71, 61, 58, 79, 58, 75, 58, 34, 71, 58, 64, 54, 75, 58, 56, 61, 55, 63, 50, 78, 92, 77, 39, 68, 57, 68, 70, 56, 53, 71, 87, 66, 92, 64, 30, 89, 68, 91, 62, 78, 88, 72, 79, 95, 29, 77, 66, 65, 93, 61, 56, 85, 93, 87, 62, 70, 83, 83, 77, 87, 76, 74, 37, 75, 64, 47, 99, 81, 65, 84, 70, 47, 28, 75, 69, 62, 101, 72, 64, 68, 59, 85, 59, 78, 57, 24, 39, 81, 57, 36, 84, 76, 47, 50, 85, 88, 66, 51, 44, 61, 0, 56, 85, 54, 109, 28, 76, 73, 85, 55, 63, 72, 80, 49, 61, 81, 60, 39, 52, 76, 54, 62, 64, 43, 78, 79, 83, 87, 71, 78, 97, 73, 52, 54, 56, 69, 79, 57, 22, 65, 63, 104, 48, 62, 89, 76, 88, 90, 75, 68, 78, 36, 78, 55, 61, 85, 84, 45, 46, 67, 65, 66, 59, 70, 66, 66, 78, 36, 77, 70, 78, 78, 81, 86, 78, 90, 90, 87, 84, 67, 34, 56, 75, 52, 70, 66, 60, 83, 68, 43, 76, 83, 82, 87, 80, 30, 45, 100, 70, 85, 53, 73, 95, 68, 39, 65, 49, 85, 89, 620, 55, 105, 71, 89, 86, 67, 96, 62, 67, 28, 45, 45, 73, 79, 32, 61, 58, 38, 100, 658, 88, 53, 98, 39, 72, 38, 95, 72, 116, 85, 47, 64, 86, 78, 72, 75, 25, 64, 33, 72, 62, 42, 76, 69, 54, 88, 47, 49, 64, 83, 63, 77, 78, 52, 91, 86, 69, 76, 61, 48, 76, 79, 82, -56, 55, 103, 66, 82, 94, 81, 95, 126, 76, 39, 39, 79, 68, 62, 87, 61, 73, 43, 46, 50, 69, 74, 84, 52, 48, 86, 39, 0, 66, 80, 91, 74, 75, 44]"
Orthodox Autocephalous Church of Albania,"[70, 69, 80, 38, 50, 63, 60, 59]"
Calvinistic Methodists,[92]
Dutch Reformed Church,"[63, 80, 60, 34, 63, 66, 57, 73, 87, 80, 68, 80, 59, 52, 83, 75, 78, 62, 83, 73, 66, 84, 70, 71, 54, 65, 81, 87, 62, 78, 74, 39, 44, 82, 53, 58, 72, 75, 54, 74, 64, 55, 73, 64, 65, 65, 71, 92, 59, 58, 76, 81, 88, 70, 75, 67, 76, 82, 59, 83]"
Orthodoxy,"[83, 73, 75, 61, 79]"
